City,Country,Temperature,Description,Humidity,Pressure,Wind_Speed,Direction,Time,Sunrise,Sunset
Cleveland,US,84.63,"Clear, clear sky",59,1015,13.8,180,2025-07-06 10:14:10,05:59:33,21:03:14
Cleveland,US,85.32,"Clear, clear sky",59,1015,13.8,180,2025-07-06 10:29:27,05:59:33,21:03:14
"San Juan,PR",PR,86.59,"Haze, haze",70,1019,13.8,100,2025-07-06 11:00:07,05:53:07,19:04:49
"San Juan, PR",PR,87.55,"Haze, haze",70,1019,17.27,70,2025-07-06 11:53:56,05:53:07,19:04:49
"San Juan,PR",PR,88.5,"Haze, haze",65,1019,14.97,70,2025-07-06 13:25:50,05:53:07,19:04:49
Oslo,NO,64.56,"Clouds, broken clouds",82,997,6.58,184,2025-07-06 13:29:30,22:06:24,16:36:46
Oslo,NO,64.56,"Clouds, broken clouds",82,997,6.58,184,2025-07-06 13:29:30,22:06:24,16:36:46
Nome,US,66.27,"Clear, clear sky",53,1010,3.44,360,2025-07-06 13:35:53,08:44:08,05:28:25
Fairbanks,US,64.36,"Smoke, smoke",68,1007,0,0,2025-07-06 13:38:16,07:25:16,04:25:44
Fairbanks,US,64.36,"Smoke, smoke",68,1007,0,0,2025-07-06 13:38:16,07:25:16,04:25:44
"Ceiba,PR",PR,88.93,"Clouds, overcast clouds",70,1018,4,177,2025-07-06 13:40:56,05:54:10,19:05:51
"Levittown,PR",PR,88.48,"Haze, haze",67,1018,14.97,70,2025-07-06 13:43:54,05:53:29,19:05:11
San Juan,AR,59.45,"Clear, clear sky",32,1014,2.55,122,2025-07-06 13:47:18,07:33:45,17:43:45
San Juan,AR,59.45,"Clear, clear sky",32,1014,2.55,122,2025-07-06 13:49:03,07:33:45,17:43:45
San Juan,AR,59.45,"Clear, clear sky",32,1014,2.55,122,2025-07-06 13:47:18,07:33:45,17:43:45
Oslo,NO,64.56,"Clouds, broken clouds",82,997,5.84,174,2025-07-06 13:53:42,22:06:24,16:36:46
San Juan,AR,59.45,"Clear, clear sky",32,1014,4.23,139,2025-07-06 13:58:06,07:33:45,17:43:45
Oslo,NO,64.56,"Clouds, broken clouds",82,997,5.84,174,2025-07-06 13:53:42,22:06:24,16:36:46
Oslo,NO,64.56,"Clouds, broken clouds",82,998,5.84,174,2025-07-06 14:04:46,22:06:24,16:36:46
oslo,NO,64.56,"Clouds, broken clouds",82,998,5.84,174,2025-07-06 14:04:46,22:06:24,16:36:46
San Juan,AR,60.91,"Clear, clear sky",31,1014,4.79,147,2025-07-06 14:32:47,07:33:45,17:43:45
Oslo,NO,63.55,"Clear, clear sky",84,997,7.23,169,2025-07-06 15:07:38,22:06:24,16:36:46
oslo,NO,63.55,"Clear, clear sky",84,997,7.23,169,2025-07-06 15:10:55,22:06:24,16:36:46
rome,US,92.23,"Clear, clear sky",44,1016,4.61,320,2025-07-06 15:18:00,06:34:41,20:55:51
Oslo,NO,63.55,"Clear, clear sky",84,997,7.23,169,2025-07-06 15:22:54,22:06:24,16:36:46
